name,lat,lng,category,area,address,hours,day,notes
くらや,33.2635,131.356,餐廳,由布院,大分県由布市湯布院町川上,,Day 1 午餐,地產蕎麥麵。
とよ常 本店,33.284,131.501,餐廳,別府 駅前,大分県別府市北浜2-13-11,,Day 1 晚餐,"關鯵海鮮天丼,別府老舖。"
豊後茶屋,33.2845,131.502,餐廳,別府 駅前,大分県別府市駅前町,,Day 1 晚餐,大分とり天 + 別府冷麺二刀流。
柊 ひいらぎ,33.2848,131.5015,餐廳,別府 駅前,大分県別府市駅前町,,Day 1 晚餐,本格炭烤豐後牛。
もつ鍋 おおやま 博多本店,33.5905,130.4195,餐廳,博多 駅前一番街,福岡県福岡市博多区博多駅前3-1-9,,Day 4 晚餐,"博多必吃內臟鍋,家庭友善,小孩可分小碗。"
博多もつ鍋 やま中,33.586,130.409,餐廳,博多,福岡県福岡市博多区,,Day 4 備案,味噌系もつ鍋名店。
拉麵競技場(運河城 B1F),33.5896,130.4109,餐廳,博多 中洲川端,福岡県福岡市博多区住吉1-2 キャナルシティ博多,,Day 3 / Day 5,"一風堂、一蘭、博多元助齊聚,給小孩拉麵初體驗。"
カフェアラジン / La Beach,33.663,130.355,餐廳,海之中道海濱公園內,福岡県福岡市東区西戸崎 海の中道海浜公園,,Day 4 午餐,"公園內的海邊景觀餐廳,也可買輕食野餐。"
梅の花,33.5205,130.534,餐廳,太宰府 表參道,福岡県太宰府市宰府,,Day 7 午餐,湯葉懷石 / 豆腐料理。表參道還有隈研吾設計的星巴克。
Sunset Cafe,33.626,130.2118,餐廳,糸島 海岸,福岡県糸島市志摩桜井,,Day 6 午餐,"海景開放露台 + 沙坑,小孩可放電,平日較好排隊。"
Bistrot Mitsou,33.625,130.21,餐廳,糸島 海岸,福岡県糸島市,,Day 6 備案,糸島高人氣法式小館。
CURRENT,33.6288,130.217,餐廳,糸島 海岸,福岡県糸島市志摩野北,,Day 6 備案,沖繩風海邊咖啡餐廳。
鶏と肴,33.5748,130.4013,居酒屋,福岡 平尾,福岡県福岡市中央区平尾1-9-6,17:00-23:00 · 不定期公休,Day 6 晚餐,"雞料理 + 海鮮居酒屋。建議提早訂位並確認當天是否公休,帶小孩坐 17:30 早場最舒服。"
中洲屋台,33.5926,130.4046,居酒屋,博多 那珂川河畔,福岡県福岡市博多区中洲,傍晚起,Day 5 晚餐,"沿岸 20+ 攤,博多代表夜景。現金為主,早點去佔位。"
Nintendo FUKUOKA(皮克敏),33.5897,130.4207,玩具童裝,博多 AMU PLAZA 8F,福岡県福岡市博多区博多駅中央街1-1 アミュプラザ博多8F,10:00-20:00(依百貨為準),Day 7 還車後,"任天堂直營店,皮克敏主題。跟 Day 7 傍晚博多站補貨可以一起排。"
Ultraman World M78 博多,33.589,130.4113,玩具童裝,博多 運河城 OPA B1F,福岡県福岡市博多区住吉1-2-22 キャナルシティ博多 サウスビルB1F,依百貨營業時間,Day 3 / Day 5,"鹹蛋超人專賣店,已搬遷到 CANAL CITY OPA 南側 B1F。跟運河城拉麵競技場同一棟。"
三麗鷗 Gallery 博多店,33.5899,130.4107,玩具童裝,博多 運河城 OPA B1F,福岡県福岡市博多区住吉1-2 キャナルシティ博多 センターウォーク北側B1F,依百貨營業時間,Day 3 / Day 5,"大型直營專賣店,在 Center Walk 北側 B1F,跟鹹蛋超人同一棟不同側。"
三麗鷗(天神 PARCO),33.5908,130.399,玩具童裝,福岡 天神 PARCO,福岡県福岡市中央区天神2-11-1 福岡PARCO,依百貨營業時間,Day 5,"天神 PARCO 6F/7F/8F 的角色商品樓層,逛天神時順路。"
童裝 BREEZE,33.594,130.3625,玩具童裝,福岡 MARK IS ももち 3F,福岡県福岡市中央区地行浜2-2-1 MARK IS 福岡ももち 3F,依百貨營業時間,Day 7 可加,"人氣日系童裝。在 MARK IS 福岡ももち,緊鄰 PayPay 巨蛋,離唐人町住處很近。"
西松屋 MARK IS 福岡ももち店,33.594,130.3625,玩具童裝,福岡 MARK IS ももち 3F,福岡県福岡市中央区地行浜2-2-1 MARK IS 福岡ももち 3F,依百貨營業時間,Day 7 可加,"平價育兒用品大賣場,跟 BREEZE 同一層,一次逛完。"
mont-bell 福岡天神店,33.5893,130.399,選物購物,福岡 天神,福岡県福岡市中央区天神2-4-38 NTT-KFビル1階,,Day 5,"有賣小孩戶外用品。NTT-KF ビル 1F,天神逛街順路。"
mont-bell 熊本桜町店,32.8017,130.7063,選物購物,熊本 桜町,熊本県熊本市中央区桜町3-10 SAKURA MACHI Kumamoto 2F,,Day 2 晚上,"有賣小孩戶外用品。SAKURA MACHI Kumamoto 2F,離 OMO5 走路可到。"
mont-bell 南阿蘇店,32.8213,131.0122,選物購物,南阿蘇 道の駅,熊本県阿蘇郡南阿蘇村大字久石2784 道の駅あそ望の郷くぎの内,,Day 2 順路,"有賣小孩戶外用品。在道の駅「あそ望の郷くぎの」內,阿蘇下山往熊本路上可停。"
Owala(Bonnes Fêtes à deux),33.5908,130.399,選物購物,福岡 天神 PARCO 5F,福岡県福岡市中央区天神2-11-1 福岡PARCO 5F,依百貨營業時間,Day 5,"保溫瓶品牌 Owala,在天神 PARCO 5F 的 Bonnes Fêtes à deux 內。"
DOUBLEDAY,33.5897,130.4207,選物購物,博多 AMU PLAZA 7F,福岡県福岡市博多区博多駅中央街1-1 アミュプラザ博多7F,10:00-20:00(依百貨為準),Day 7 還車後,"生活雜貨選物店,在 JR 博多城 AMU 7F,跟 Nintendo 同棟不同層。"
H.L.D.,33.5875,130.3935,選物購物,福岡 大名,福岡県福岡市中央区大名,,Day 5 彈性,"Vitra / Fritz Hansen / Herman Miller 進口家具,九州最大 Vitra 賣場。"
糸島くらし×ここのき,33.5695,130.2005,選物購物,糸島 前原商店街,福岡県糸島市前原中央3-9-1,,Day 6,"糸島在地作家的器皿、木工、編織小物,店內附設タナカフェ。"
bbb haus,33.633,130.188,選物購物,糸島 玄海国定公園,福岡県糸島市志摩野北,,Day 6 彈性,"海景咖啡廳 + 生活道具選物店二合一,簡約實用的居家小物。"
岩田屋本店,33.5885,130.3975,選物購物,福岡 天神,福岡県福岡市中央区天神2-5-35,,Day 5,1F 專櫃彩妝最齊(SK-II / CPB / Dior / CHANEL / RMK / SUQQU)。
大丸福岡天神店,33.5875,130.3995,選物購物,福岡 天神,福岡県福岡市中央区天神1-4-1,,Day 5,"B1-1F 化妝品館,跟岩田屋走路 5 分鐘可互相比價。"
天神地下街,33.59,130.3995,選物購物,福岡 天神,福岡県福岡市中央区天神2 天神地下街,,Day 5,"600m 歐風地下街,下雨天首選。"
AMU PLAZA 博多,33.5897,130.4207,選物購物,博多駅,福岡県福岡市博多区博多駅中央街1-1,10:00-20:00,Day 7,"B1 Hakata Marche 九州伴手禮一站搞定,8F Nintendo / Pokemon Center。"
由布院フローラルヴィレッジ,33.2635,131.354,選物購物,由布院,大分県由布市湯布院町川上1503-3,09:30-17:30,Day 1,"英國 Cotswolds 風童話村,約 20 家個性小店。"
伊都菜彩,33.5605,130.2407,市場直賣所,糸島,福岡県糸島市波多江567,,Day 6,"九州最大 JA 直賣所,糸島蔬菜、海鮮、雞蛋、限定果醬啤酒。"
城彩苑,32.8045,130.7068,市場直賣所,熊本城下,熊本県熊本市中央区二の丸1-1-1,,(未排入),"熊本城腳下江戶風美食街,Day 3 改去高千穂後沒排到,有多的時間再考慮。"
糸島 トトロの森(芥屋の大門公園),33.6197,130.1526,景點,糸島 芥屋,福岡県糸島市志摩芥屋 芥屋の大門公園内,全天(公園),Day 6 可加,"樹木交錯成綠色隧道的步道,走 10 分可到展望台看芥屋大門背面。導航打「トトロの森」,停芥屋の大門公園停車場。跟花鹽布丁在同一區,可一起排。"
